%time sig_1 sig_2 sig_3
0.000417 -0.144088184554 0.00827605663627 0
0.000418 -0.508741270148 0.00617971826112 1
0.000419 -0.759408919618 0.00216947717027 0
0.00042 -0.161923302167 -0.000729497199702 1
0.000421 -0.194340289577 -0.00184065790188 0
0.000422 0.407826052482 -0.00116054404351 1
0.000423 -0.248193364191 -0.000653344663265 1
0.000424 -0.735627144113 -0.00373033620499 1
0.000425 0.109406208121 -0.00566814110974 0
0.000426 0.0926727219432 -0.0049997771739 1
0.000427 0.329741723951 -0.00364556291699 0
0.000428 -0.15971793914 -0.0030902562437 1
0.000429 -0.0617048145747 -0.00376434198467 0
0.00043 0.00108573114054 -0.00393060805334 1
0.000431 -0.276965516145 -0.0047699762674 0
0.000432 0.234301046388 -0.00487371410533 1
0.000433 0.414795798292 -0.00281037594576 1
0.000434 0.21333463695 -0.00082562315684 1
0.000435 0.182702455612 0.000419838872627 0
0.000436 0.140435851051 0.00142919887951 1
0.000437 0.618245769222 0.00379625124844 0
0.000438 -0.0647677719109 0.00550583030764 1
0.000439 -0.147493672498 0.00480659387718 0
0.00044 0.289650345062 0.00522168746039 1
0.000441 -0.255709532284 0.00529527565441 1
0.000442 0.105223285625 0.00479082275478 1
0.000443 -0.344154563419 0.00401254142352 0
0.000444 0.121104273514 0.00328887021023 1
0.000445 -0.546416262664 0.00193629784007 0
0.000446 -0.100850813954 -0.000102911406098 1
0.000447 -0.0816291788393 -0.000673749259443 0
0.000448 -0.0463649927042 -0.001070375479 1
0.000449 0.703001010226 0.000992751273361 0
0.00045 -0.0379497115006 0.0030693102052 0
0.000451 -0.146079693518 0.00247375073881 0
0.000452 -0.409864029871 0.000717177425123 1
0.000453 0.222773755385 0.000126764670952 0
0.000454 -0.487701521057 -0.000703717899391 1
0.000455 0.106551400731 -0.00189297855482 0
0.000456 0.00581727983326 -0.0015292108085 1
0.000457 0.294571857645 -0.000578887714148 0
0.000458 0.0155327565718 0.000395909506711 1
0.000459 -0.358985264356 -0.000682179026382 0
0.00046 0.555375064351 -6.2861659134e-05 0
0.000461 0.159421217128 0.00217609815931 0
0.000462 -0.3917507792 0.0014348691256 1
0.000463 0.152316641713 0.000676033003629 0
0.000464 -0.336674291931 9.4435864733e-05 1
0.000465 -0.406519220447 -0.00223365485927 0
0.000466 0.105286823493 -0.00316305009592 1
0.000467 0.526965533599 -0.0011631794846 0
0.000468 0.0486176633163 0.000646691054612 1
0.000469 -0.478344565854 -0.000703158427967 0
0.00047 -0.463520138378 -0.00364844270531 0
0.000471 0.53843066815 -0.0033909893074 0
0.000472 -0.282094104617 -0.00256696677151 1
0.000473 0.253541236108 -0.00264030911379 0
0.000474 -0.284303277515 -0.0027201106617 1
0.000475 -0.698752453482 -0.00578176190387 0
0.000476 -0.531334149734 -0.00959787638116 1
0.000477 0.337032552749 -0.0101462648019 0
0.000478 0.0522424049317 -0.00886360020242 1
0.000479 0.398512959227 -0.00739642807642 0
0.00048 0.0559789781157 -0.0059267435668 0
0.000481 0.240857194831 -0.00496000350193 0
0.000482 0.352135573926 -0.0030718290299 1
0.000483 0.0583459929798 -0.00176706133246 0
0.000484 0.105868274627 -0.00124171464722 1
0.000485 0.0289756615145 -0.00081163912692 0
0.000486 0.469230824181 0.000753704714835 1
0.000487 0.241545008274 0.00297495890619 0
0.000488 0.113610702342 0.00406858553008 1
0.000489 0.241763408986 0.00515604619226 0
0.00049 0.420659981951 0.00719829833279 1
0.000491 0.0361504361136 0.00858382956919 1
0.000492 0.152438480244 0.00912067877003 1
0.000493 -0.193197152154 0.00893590519426 0
0.000494 0.462176604276 0.00972231254524 1
0.000495 -0.335572714626 0.0100579089962 0
0.000496 0.298220953677 0.00987793467837 0
0.000497 -0.43013719523 0.00940293494466 0
0.000498 0.115681694644 0.0083592423285 1
0.000499 -0.485594553113 0.00714840808924 0
0.0005 0.329545537014 0.00661492685472 1
0.000501 0.153300537493 0.00808564931311 0
0.000502 0.688761363018 0.0106721354747 1
0.000503 0.515354634393 0.0143762855109 1
0.000504 -0.519018666152 0.0142747646868 1
0.000505 -0.563694600688 0.010794563026 0
0.000506 -0.261852347429 0.00814154127247 1
0.000507 0.122200116846 0.00765319023834 0
0.000508 -0.194520983058 0.00737876326166 1
0.000509 0.0399197142245 0.00684837318392 0
0.00051 -0.24018526981 0.00617829589783 1
